Fecha,Hora,Demanda,Pred. M1,Pred. M2,Pred. M3
2017-12-27,11,753.19,921.6015625,760.6644791742665,761.347437944326
2017-12-27,12,749.1999999999999,901.90625,743.1018667013423,743.8182491324247
2017-12-27,13,773.03,916.5078125,772.5156892273336,773.4468611508888
2017-12-27,14,791.19,928.1640625,792.8738674365648,794.3868480139461
2017-12-27,15,790.8999999999999,915.5546875,786.3950259260264,787.6553473320334
2017-12-27,16,773.77,869.609375,752.0750622601024,753.5186606813495
2017-12-27,17,771.45,829.375,739.0116282917232,740.4142397852943
2017-12-27,18,853.6499999999999,890.3984375,835.7988149056855,836.2662815354994
2017-12-27,19,850.64,914.3828125,879.7591101898388,879.8238506090138
2017-12-27,20,800.3599999999999,869.8125,809.7259117366295,809.904379139585
2017-12-27,21,717.3900000000001,796.0390625,730.5656977282471,730.3622205795391
2017-12-27,22,624.25,714.296875,640.1542161436062,639.5119027213847
2017-12-27,23,571.85,657.7734375,572.8783448720551,572.1793005346065
2017-12-28,0,536.98,615.75,541.7410737937506,541.3584664681417
2017-12-28,1,510.87,597.8984375,523.4824828910146,522.9960404955056
2017-12-28,2,502.58000000000004,587.9765625,505.72995725066755,504.8409433512653
2017-12-28,3,497.22,584.6015625,504.05226084901346,502.7645895655254
2017-12-28,4,511.28000000000003,598.3125,515.6708811970288,514.7454303796264
2017-12-28,5,541.57,630.8046875,548.6635621993616,547.7418273698114
2017-12-28,6,550.8100000000001,664.2265625,580.0189150798284,579.2626784608169
2017-12-28,7,599.38,733.640625,626.6333906060422,626.7152614286869
2017-12-28,8,660.09,819.03125,692.3339421321006,692.646983291185
2017-12-28,9,701.9399999999999,865.8671875,715.8964445936546,716.5840709283711
2017-12-28,10,729.92,896.734375,742.0597883522411,743.0874471849877
2017-12-28,11,753.91,914.3203125,756.9180861917954,758.1099033105143
2017-12-28,12,750.38,894.625,743.2696613065982,744.4647857924135
2017-12-28,13,764.5400000000001,909.2265625,773.1173455893015,774.0880926405879
2017-12-28,14,784.93,920.8828125,784.354995130263,785.1060679579214
2017-12-28,15,777.4300000000001,908.2734375,779.979439962045,780.4616706459302
2017-12-28,16,758.5699999999999,862.328125,738.8591648485284,739.1411663373783
2017-12-28,17,754.26,822.09375,724.1640334038193,723.9817737328588
2017-12-28,18,848.6899999999999,883.1171875,819.0742963311367,817.9713331036269
2017-12-28,19,839.4300000000001,907.1015625,874.5696552774349,872.9752134839318
2017-12-28,20,786.6300000000001,862.53125,798.6415959993357,797.642065789346
2017-12-28,21,708.59,788.7578125,717.1045741063576,716.1772155645953
2017-12-28,22,618.37,707.015625,631.3429587403896,629.9409872193169
2017-12-28,23,558.74,650.4921875,566.8211664462273,565.7771024854903
2017-12-29,0,521.73,607.59375,529.0387458848064,528.6465142099191
2017-12-29,1,503.53999999999996,589.7421875,508.761754635628,508.2812177387931
2017-12-29,2,493.70000000000005,579.8203125,498.47919663258153,497.538613280553
2017-12-29,3,487.78,576.4453125,495.33957474635486,494.4474109999843
2017-12-29,4,496.87999999999994,590.15625,506.43001556445995,505.90413616962064
